,Movie Title,Genre,tconst,Runtime (min),IMDB Rating,Worldwide Box Office (USD),Domestic Box Office (USD),budget,release_date,popularity
50,Inception,"Action, Adventure, Sci-Fi",tt1375666,148.0,8.8,828322032,292576195,160000000.0,2010-07-15,72.357
51,The Twilight Saga: Breaking Dawn - Part 2,"Adventure, Drama, Fantasy",tt1673434,115.0,5.5,829746820,292298923,120000000.0,2012-11-13,24.695
52,Man of Steel,"Action, Adventure, Sci-Fi",tt0770828,143.0,7.1,668045518,291045518,225000000.0,2013-06-12,31.109
53,The Hunger Games: Mockingjay - Part 2,"Action, Adventure, Sci-Fi",tt1951266,137.0,6.6,658344137,281723902,160000000.0,2015-11-18,22.4
54,The Twilight Saga: Breaking Dawn - Part 1,"Adventure, Drama, Fantasy",tt1324999,117.0,4.9,712205856,281287133,110000000.0,2011-11-16,23.086
55,Gravity,"Drama, Sci-Fi, Thriller",tt1454468,91.0,7.7,723192705,274092705,105000000.0,2013-10-03,21.306
56,The Grinch,"Animation, Comedy, Family",tt2709692,85.0,6.3,511595957,270620950,75000000.0,2018-11-08,16.98
57,Sing,"Animation, Comedy, Family",tt3470600,108.0,7.1,634151679,270395425,75000000.0,2016-11-23,27.395
58,Monsters University,"Animation, Adventure, Comedy",tt1453405,104.0,7.3,743559607,268492764,200000000.0,2013-06-20,21.336
59,Despicable Me 3,"Animation, Adventure, Comedy",tt3469046,89.0,6.3,1034799409,264624300,80000000.0,2017-06-15,16.69
60,The Amazing Spider-Man,"Action, Adventure, Sci-Fi",tt0948470,136.0,7.0,757930663,262030663,215000000.0,2012-06-23,30.726
61,Captain America: The Winter Soldier,"Action, Adventure, Sci-Fi",tt1843866,136.0,7.8,714421503,259766572,170000000.0,2014-03-20,18.269
62,The Hobbit: The Desolation of Smaug,"Adventure, Fantasy",tt1170358,161.0,7.8,958366855,258366855,250000000.0,2013-12-11,27.04
63,The Lego Movie,"Animation, Action, Adventure",tt1490017,100.0,7.8,468060692,257760692,60000000.0,2014-02-06,20.782
64,The Hobbit: The Battle of the Five Armies,"Adventure, Fantasy",tt2310332,144.0,7.4,956019788,255119788,250000000.0,2014-12-10,61.685
65,The Hangover Part II,Comedy,tt1411697,102.0,6.5,586764305,254464305,80000000.0,2011-05-25,18.685
66,Despicable Me,"Animation, Comedy, Family",tt1323594,95.0,7.7,543113985,251513985,69000000.0,2010-07-08,26.901
67,Moana,"Animation, Adventure, Comedy",tt3521164,107.0,7.6,643331111,248757044,150000000.0,2016-11-23,7.042000000000002
68,Transformers: Age of Extinction,"Action, Adventure, Sci-Fi",tt2109248,165.0,5.7,1104054072,245439076,210000000.0,2014-06-25,24.208
69,Maleficent,"Action, Adventure, Family",tt1587310,97.0,7.0,758410378,241410378,180000000.0,2014-05-28,33.512
70,Pirates of the Caribbean: On Stranger Tides,"Action, Adventure, Fantasy",tt1298650,136.0,6.6,1045713802,241063875,380000000.0,2011-05-14,30.047
71,Shrek Forever After,"Animation, Adventure, Comedy",tt0892791,93.0,6.3,752600867,238371987,165000000.0,2010-05-16,22.798
72,Brave,"Animation, Adventure, Comedy",tt1217209,93.0,7.1,538983207,237283207,185000000.0,2012-06-21,32.841
73,Oz the Great and Powerful,"Adventure, Family, Fantasy",tt1623205,130.0,6.3,493311825,234911825,200000000.0,2013-03-07,17.965999999999994
74,Fantastic Beasts and Where to Find Them,"Adventure, Family, Fantasy",tt3183660,132.0,7.3,814037575,234037575,180000000.0,2016-11-16,43.308
75,X-Men: Days of Future Past,"Action, Adventure, Sci-Fi",tt1877832,132.0,8.0,746045700,233921534,250000000.0,2014-05-15,23.99
76,Doctor Strange,"Action, Adventure, Fantasy",tt1211837,115.0,7.5,677718395,232641920,165000000.0,2016-10-25,40.295
77,Justice League,"Action, Adventure, Fantasy",tt0974015,120.0,6.5,657924295,229024295,300000000.0,2017-11-15,64.39699999999999
78,Star Trek Into Darkness,"Action, Adventure, Sci-Fi",tt1408101,132.0,7.7,467365246,228778661,190000000.0,2013-05-05,24.635
79,The Martian,"Adventure, Drama, Sci-Fi",tt3659388,144.0,8.0,630161890,228433663,108000000.0,2015-09-30,32.521
80,Logan,"Action, Drama, Sci-Fi",tt1483010,94.0,6.2,619021436,226277068,135000.0,2010-09-10,1.775
81,The Fate of the Furious,"Action, Adventure, Crime",tt4630562,136.0,6.7,1236005118,226008385,250000000.0,2017-04-12,26.279
82,Big Hero 6,"Animation, Action, Adventure",tt2245084,102.0,7.8,657827828,222527828,165000000.0,2014-10-24,47.452
83,Mission: Impossible - Fallout,"Action, Adventure, Thriller",tt4912910,147.0,7.8,791115104,220159104,178000000.0,2018-07-13,31.265
84,Ted,Comedy,tt1637725,106.0,6.9,549368315,218815487,50000000.0,2012-06-29,23.863000000000003
85,How to Train Your Dragon,"Animation, Action, Adventure",tt0892769,98.0,8.1,494878759,217581231,165000000.0,2010-03-10,26.526
86,Ant-Man and the Wasp,"Action, Adventure, Comedy",tt5095030,118.0,7.1,622674139,216648740,140000000.0,2018-07-04,38.009
87,Bohemian Rhapsody,"Biography, Drama, Music",tt1727824,134.0,8.0,903655259,216428042,52000000.0,2018-10-24,31.363000000000003
88,Madagascar 3: Europe's Most Wanted,"Animation, Adventure, Comedy",tt1277953,93.0,6.8,746921274,216391482,145000000.0,2012-06-06,19.056
89,A Star Is Born,"Drama, Music, Romance",tt1517451,136.0,7.8,436188866,215288866,36000000.0,2018-10-03,23.886
90,The Lorax,"Animation, Adventure, Comedy",tt1482459,86.0,6.4,348840316,214030500,70000000.0,2012-03-01,19.979
91,Solo: A Star Wars Story,"Action, Adventure, Sci-Fi",tt3778644,135.0,7.0,392924807,213767512,250000000.0,2018-05-15,40.076
92,Venom,"Action, Adventure, Sci-Fi",tt1270797,112.0,6.7,856085151,213515506,116000000.0,2018-09-28,34.117
93,Fast Five,"Action, Adventure, Crime",tt1596343,130.0,7.3,626137675,209837675,125000000.0,2011-04-20,2.465
94,Coco,"Animation, Adventure, Family",tt2380307,105.0,8.4,807082196,209726015,175000000.0,2017-10-27,38.033
95,Mission: Impossible - Ghost Protocol,"Action, Adventure, Thriller",tt1229238,132.0,7.4,694713380,209397903,145000000.0,2011-12-07,28.239
96,Dawn of the Planet of the Apes,"Action, Adventure, Drama",tt2103281,130.0,7.6,710644566,208545589,170000000.0,2014-06-26,29.991
97,Thor: The Dark World,"Action, Adventure, Fantasy",tt1981115,112.0,6.9,644783140,206362140,170000000.0,2013-10-29,30.199
98,The Amazing Spider-Man 2,"Action, Adventure, Sci-Fi",tt1872181,142.0,6.6,708982323,202853933,200000000.0,2014-04-16,20.243
99,World War Z,"Action, Adventure, Horror",tt0816711,116.0,7.0,540007876,202359711,200000000.0,2013-06-20,24.446
100,Cinderella,"Drama, Family, Fantasy",tt1661199,105.0,6.9,542351353,201151353,95000000.0,2015-03-12,33.5
