,Movie Title,Genre,tconst,Runtime (min),IMDB Rating,Worldwide Box Office (USD),Domestic Box Office (USD),budget,release_date,popularity
48,Skyfall,"Action, Adventure, Thriller",tt1074638,143.0,7.8,1108561013,304360277,200000000.0,2012-10-25,36.227
49,The Hobbit: An Unexpected Journey,"Adventure, Family, Fantasy",tt0903624,169.0,7.9,1017003568,303003568,250000000.0,2012-11-26,32.391
50,The Twilight Saga: Eclipse,"Adventure, Drama, Fantasy",tt1325004,124.0,5.0,698491347,300531751,68000000.0,2010-06-23,20.09
51,Harry Potter and the Deathly Hallows: Part 1,"Adventure, Family, Fantasy",tt0926084,146.0,7.7,976536918,295983305,250000000.0,2010-10-17,42.806999999999995
52,Inception,"Action, Adventure, Sci-Fi",tt1375666,148.0,8.8,828322032,292576195,160000000.0,2010-07-15,72.357
53,The Twilight Saga: Breaking Dawn - Part 2,"Adventure, Drama, Fantasy",tt1673434,115.0,5.5,829746820,292298923,120000000.0,2012-11-13,24.695
54,Man of Steel,"Action, Adventure, Sci-Fi",tt0770828,143.0,7.1,668045518,291045518,225000000.0,2013-06-12,31.109
55,The Hunger Games: Mockingjay - Part 2,"Action, Adventure, Sci-Fi",tt1951266,137.0,6.6,658344137,281723902,160000000.0,2015-11-18,22.4
56,The Twilight Saga: Breaking Dawn - Part 1,"Adventure, Drama, Fantasy",tt1324999,117.0,4.9,712205856,281287133,110000000.0,2011-11-16,23.086
57,Gravity,"Drama, Sci-Fi, Thriller",tt1454468,91.0,7.7,723192705,274092705,105000000.0,2013-10-03,21.305999999999997
58,The Grinch,"Animation, Comedy, Family",tt2709692,85.0,6.3,511595957,270620950,75000000.0,2018-11-08,16.98
59,Sing,"Animation, Comedy, Family",tt3470600,108.0,7.1,634151679,270395425,75000000.0,2016-11-23,27.395
60,Monsters University,"Animation, Adventure, Comedy",tt1453405,104.0,7.3,743559607,268492764,200000000.0,2013-06-20,21.336
61,Despicable Me 3,"Animation, Adventure, Comedy",tt3469046,89.0,6.3,1034799409,264624300,80000000.0,2017-06-15,16.69
62,The Amazing Spider-Man,"Action, Adventure, Sci-Fi",tt0948470,136.0,7.0,757930663,262030663,215000000.0,2012-06-23,30.726
63,Captain America: The Winter Soldier,"Action, Adventure, Sci-Fi",tt1843866,136.0,7.8,714421503,259766572,170000000.0,2014-03-20,18.269000000000002
64,The Hobbit: The Desolation of Smaug,"Adventure, Fantasy",tt1170358,161.0,7.8,958366855,258366855,250000000.0,2013-12-11,27.04
65,The Lego Movie,"Animation, Action, Adventure",tt1490017,100.0,7.8,468060692,257760692,60000000.0,2014-02-06,20.781999999999996
66,The Hobbit: The Battle of the Five Armies,"Adventure, Fantasy",tt2310332,144.0,7.4,956019788,255119788,250000000.0,2014-12-10,61.685
67,The Hangover Part II,Comedy,tt1411697,102.0,6.5,586764305,254464305,80000000.0,2011-05-25,18.685
68,Despicable Me,"Animation, Comedy, Family",tt1323594,95.0,7.7,543113985,251513985,69000000.0,2010-07-08,26.901
69,Moana,"Animation, Adventure, Comedy",tt3521164,107.0,7.6,643331111,248757044,150000000.0,2016-11-23,7.042000000000001
70,Transformers: Age of Extinction,"Action, Adventure, Sci-Fi",tt2109248,165.0,5.7,1104054072,245439076,210000000.0,2014-06-25,24.208000000000002
71,Maleficent,"Action, Adventure, Family",tt1587310,97.0,7.0,758410378,241410378,180000000.0,2014-05-28,33.512
72,Pirates of the Caribbean: On Stranger Tides,"Action, Adventure, Fantasy",tt1298650,136.0,6.6,1045713802,241063875,380000000.0,2011-05-14,30.046999999999997
73,Shrek Forever After,"Animation, Adventure, Comedy",tt0892791,93.0,6.3,752600867,238371987,165000000.0,2010-05-16,22.798000000000002
74,Brave,"Animation, Adventure, Comedy",tt1217209,93.0,7.1,538983207,237283207,185000000.0,2012-06-21,32.841
76,Oz the Great and Powerful,"Adventure, Family, Fantasy",tt1623205,130.0,6.3,493311825,234911825,200000000.0,2013-03-07,17.965999999999998
77,Fantastic Beasts and Where to Find Them,"Adventure, Family, Fantasy",tt3183660,132.0,7.3,814037575,234037575,180000000.0,2016-11-16,43.308
78,X-Men: Days of Future Past,"Action, Adventure, Sci-Fi",tt1877832,132.0,8.0,746045700,233921534,250000000.0,2014-05-15,23.99
79,Doctor Strange,"Action, Adventure, Fantasy",tt1211837,115.0,7.5,677718395,232641920,165000000.0,2016-10-25,40.295
80,Justice League,"Action, Adventure, Fantasy",tt0974015,120.0,6.5,657924295,229024295,300000000.0,2017-11-15,64.39699999999999
81,Star Trek Into Darkness,"Action, Adventure, Sci-Fi",tt1408101,132.0,7.7,467365246,228778661,190000000.0,2013-05-05,24.635
82,The Martian,"Adventure, Drama, Sci-Fi",tt3659388,144.0,8.0,630161890,228433663,108000000.0,2015-09-30,32.521
83,Logan,"Action, Drama, Sci-Fi",tt1483010,94.0,6.2,619021436,226277068,135000.0,2010-09-10,1.775
85,The Fate of the Furious,"Action, Adventure, Crime",tt4630562,136.0,6.7,1236005118,226008385,250000000.0,2017-04-12,26.279
86,Big Hero 6,"Animation, Action, Adventure",tt2245084,102.0,7.8,657827828,222527828,165000000.0,2014-10-24,47.452
87,Mission: Impossible - Fallout,"Action, Adventure, Thriller",tt4912910,147.0,7.8,791115104,220159104,178000000.0,2018-07-13,31.265
88,Ted,Comedy,tt1637725,106.0,6.9,549368315,218815487,50000000.0,2012-06-29,23.863000000000003
89,How to Train Your Dragon,"Animation, Action, Adventure",tt0892769,98.0,8.1,494878759,217581231,165000000.0,2010-03-10,26.526
90,Ant-Man and the Wasp,"Action, Adventure, Comedy",tt5095030,118.0,7.1,622674139,216648740,140000000.0,2018-07-04,38.009
91,Bohemian Rhapsody,"Biography, Drama, Music",tt1727824,134.0,8.0,903655259,216428042,52000000.0,2018-10-24,31.363000000000003
92,Madagascar 3: Europe's Most Wanted,"Animation, Adventure, Comedy",tt1277953,93.0,6.8,746921274,216391482,145000000.0,2012-06-06,19.055999999999997
93,A Star Is Born,"Drama, Music, Romance",tt1517451,136.0,7.8,436188866,215288866,36000000.0,2018-10-03,23.886
94,The Lorax,"Animation, Adventure, Comedy",tt1482459,86.0,6.4,348840316,214030500,70000000.0,2012-03-01,19.979
95,Solo: A Star Wars Story,"Action, Adventure, Sci-Fi",tt3778644,135.0,7.0,392924807,213767512,250000000.0,2018-05-15,40.076
96,Venom,"Action, Adventure, Sci-Fi",tt1270797,112.0,6.7,856085151,213515506,116000000.0,2018-09-28,34.117
97,Fast Five,"Action, Adventure, Crime",tt1596343,130.0,7.3,626137675,209837675,125000000.0,2011-04-20,2.465
98,Coco,"Animation, Adventure, Family",tt2380307,105.0,8.4,807082196,209726015,175000000.0,2017-10-27,38.033
99,Mission: Impossible - Ghost Protocol,"Action, Adventure, Thriller",tt1229238,132.0,7.4,694713380,209397903,145000000.0,2011-12-07,28.239
100,Dawn of the Planet of the Apes,"Action, Adventure, Drama",tt2103281,130.0,7.6,710644566,208545589,170000000.0,2014-06-26,29.991
101,Thor: The Dark World,"Action, Adventure, Fantasy",tt1981115,112.0,6.9,644783140,206362140,170000000.0,2013-10-29,30.199
102,The Amazing Spider-Man 2,"Action, Adventure, Sci-Fi",tt1872181,142.0,6.6,708982323,202853933,200000000.0,2014-04-16,20.243
103,World War Z,"Action, Adventure, Horror",tt0816711,116.0,7.0,540007876,202359711,200000000.0,2013-06-20,24.445999999999998
104,Cinderella,"Drama, Family, Fantasy",tt1661199,105.0,6.9,542351353,201151353,95000000.0,2015-03-12,33.5
105,Ralph Breaks the Internet,"Animation, Adventure, Comedy",tt5848272,112.0,7.1,529323962,201091711,175000000.0,2018-11-20,32.467
106,Tangled,"Animation, Adventure, Comedy",tt0398286,100.0,7.8,592461732,200821936,260000000.0,2010-11-24,21.4
107,Godzilla,"Action, Adventure, Sci-Fi",tt0831387,123.0,6.4,524976069,200676069,160000000.0,2014-05-14,21.662
108,Spectre,"Action, Adventure, Thriller",tt2379713,148.0,6.8,880674609,200074175,245000000.0,2015-10-26,33.741
109,Mission: Impossible - Rogue Nation,"Action, Adventure, Thriller",tt2381249,131.0,7.4,682714267,195042377,150000000.0,2015-07-23,28.999000000000002
110,22 Jump Street,"Action, Comedy, Crime",tt2294449,112.0,7.0,331333876,191719337,50000000.0,2014-06-05,15.39
111,Cars 2,"Animation, Adventure, Comedy",tt1216475,106.0,6.2,559852396,191452396,200000000.0,2011-06-11,24.339000000000002
112,Teenage Mutant Ninja Turtles,"Action, Adventure, Comedy",tt1291150,101.0,5.8,485004754,191204754,125000000.0,2014-08-07,39.591
113,Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure",tt4633694,117.0,8.5,375540831,190241310,90000000.0,2018-12-06,42.732
114,Wreck-It Ralph,"Animation, Adventure, Comedy",tt1772341,101.0,7.7,471222889,189422889,165000000.0,2012-11-01,25.193
115,Dunkirk,"Action, Drama, History",tt5013056,106.0,7.9,525245546,188373161,100000000.0,2017-07-19,30.166
116,Interstellar,"Adventure, Drama, Sci-Fi",tt0816692,169.0,8.6,677463813,188020017,165000000.0,2014-11-05,64.442
117,The Croods,"Animation, Action, Adventure",tt0481499,98.0,7.2,587204668,187168425,135000000.0,2013-03-20,16.099
118,Sherlock Holmes: A Game of Shadows,"Action, Adventure, Mystery",tt1515091,129.0,7.5,543848418,186848418,125000000.0,2011-11-22,28.458000000000002
119,Pitch Perfect 2,"Comedy, Music",tt2848292,115.0,6.4,287144079,184296230,29000000.0,2015-05-07,26.951
120,The Revenant,"Action, Adventure, Biography",tt1663202,156.0,8.0,532950503,183637894,135000000.0,2015-12-25,22.98
121,Lincoln,"Biography, Drama, History",tt0443272,150.0,7.4,275293450,182207973,65000000.0,2012-11-09,17.367
122,Thor,"Action, Adventure, Fantasy",tt0800369,115.0,7.0,449326618,181030624,150000000.0,2011-04-21,30.511
123,Ant-Man,"Action, Adventure, Comedy",tt0478970,117.0,7.3,519311965,180202163,130000000.0,2015-07-14,33.361999999999995
124,Men in Black 3,"Action, Adventure, Comedy",tt1409024,106.0,6.8,624026776,179020854,225000000.0,2012-05-23,22.926
125,Home,"Animation, Adventure, Comedy",tt2075392,76.0,6.0,386041607,177397510,0.0,2011-11-27,1.261
126,How to Train Your Dragon 2,"Animation, Action, Adventure",tt1646971,102.0,7.8,621537519,177002924,145000000.0,2014-06-09,25.635
127,Rise of the Planet of the Apes,"Action, Drama, Sci-Fi",tt1318514,105.0,7.6,481800873,176760185,93000000.0,2011-08-03,24.601999999999997
128,Captain America: The First Avenger,"Action, Adventure, Sci-Fi",tt0458339,124.0,6.9,370569774,176654505,140000000.0,2011-07-22,19.776
129,The Karate Kid,"Action, Drama, Family",tt1155076,140.0,6.2,359126022,176591618,40000000.0,2010-06-10,18.287
130,Get Out,"Horror, Mystery, Thriller",tt5052448,104.0,7.7,255407969,176040665,4500000.0,2017-02-24,29.093000000000004
131,The Lego Batman Movie,"Animation, Action, Comedy",tt4116284,104.0,7.3,311950384,175750384,80000000.0,2017-02-08,18.340999999999998
132,Us,"Horror, Mystery, Thriller",tt2708782,92.0,5.3,255184580,175084580,600000.0,2013-05-10,2.0269999999999997
133,The Boss Baby,"Animation, Adventure, Comedy",tt3874544,97.0,6.3,527965936,175003033,125000000.0,2017-03-23,10.025
134,Crazy Rich Asians,"Comedy, Drama, Romance",tt3104988,120.0,7.0,238532921,174532921,30000000.0,2018-08-15,19.629
135,The Greatest Showman,"Biography, Drama, Musical",tt1485796,105.0,7.6,434993183,174340174,84000000.0,2017-12-20,30.193
136,Pirates of the Caribbean: Dead Men Tell No Tales,"Action, Adventure, Fantasy",tt1790809,129.0,6.6,794861794,172558876,230000000.0,2017-05-23,26.761999999999997
137,TRON: Legacy,"Action, Adventure, Sci-Fi",tt1104001,125.0,6.8,400062763,172062763,170000000.0,2010-12-10,16.445999999999998
138,Mary Poppins Returns,"Comedy, Family, Fantasy",tt5028340,130.0,6.9,349537494,171958438,130000000.0,2018-12-13,16.075
139,True Grit,"Drama, Western",tt1403865,110.0,7.6,252276927,171243005,38000000.0,2010-12-22,18.01
140,John Wick: Chapter 3 - Parabellum,"Action, Crime, Thriller",tt6146586,131.0,8.0,326709727,171015687,55000000.0,2019-05-15,40.004
141,The Help,Drama,tt1454029,146.0,8.1,216639112,169708112,25000000.0,2011-08-09,14.362
142,Hotel Transylvania 2,"Animation, Comedy, Family",tt2510894,89.0,6.7,474800000,169700110,80000000.0,2015-09-21,16.567999999999998
143,Hidden Figures,"Biography, Drama, History",tt4846340,127.0,7.8,235956898,169607287,25000000.0,2016-12-10,32.247
144,Bridesmaids,"Comedy, Romance",tt1478338,125.0,6.8,288383523,169106725,32500000.0,2011-05-13,12.757
145,Kong: Skull Island,"Action, Adventure, Fantasy",tt3731562,118.0,6.6,566652812,168052812,185000000.0,2017-03-08,32.176
146,Gone Girl,"Drama, Mystery, Thriller",tt2267998,149.0,8.1,369330363,167767189,61000000.0,2014-10-01,44.313
147,Hotel Transylvania 3: Summer Vacation,"Animation, Adventure, Comedy",tt5220122,97.0,6.3,528583774,167510016,80000000.0,2018-06-28,19.455
148,Fifty Shades of Grey,"Drama, Romance, Thriller",tt2322441,125.0,4.1,569651467,166167230,40000000.0,2015-02-11,26.32
149,Knives Out,"Comedy, Crime, Drama",tt5961976,90.0,4.8,309232797,165359751,0.0,2016-07-26,0.614
150,Kung Fu Panda 2,"Animation, Action, Adventure",tt1302011,90.0,7.2,665692281,165249063,150000000.0,2011-05-25,22.464000000000002
151,Clash of the Titans,"Action, Adventure, Fantasy",tt0800320,106.0,5.8,493214993,163214888,125000000.0,2010-04-01,26.643
152,The SpongeBob Movie: Sponge Out of Water,"Animation, Adventure, Comedy",tt2279373,92.0,6.0,325186032,162994032,74000000.0,2015-01-28,17.734
153,Django Unchained,"Drama, Western",tt1853728,165.0,8.4,425368238,162805434,100000000.0,2012-12-25,33.986
154,Jason Bourne,"Action, Thriller",tt4196776,123.0,6.6,415484914,162434410,120000000.0,2016-07-27,23.381999999999998
155,Grown Ups,Comedy,tt1375670,102.0,6.0,271430189,162001186,80000000.0,2010-06-24,15.677999999999999
156,Ice Age: Continental Drift,"Animation, Adventure, Comedy",tt1667889,88.0,6.6,877244782,161321843,95000000.0,2012-06-26,24.736
157,Straight Outta Compton,"Biography, Drama, History",tt1398426,147.0,7.9,201634991,161197785,28000000.0,2015-08-13,19.335
158,How to Train Your Dragon: The Hidden World,"Animation, Action, Adventure",tt2386490,104.0,7.6,521799505,160799505,129000000.0,2019-01-03,31.954
159,The Heat,"Action, Comedy, Crime",tt2404463,117.0,6.6,229930771,159582188,43000000.0,2013-06-27,17.049
160,Fantastic Beasts: The Crimes of Grindelwald,"Adventure, Family, Fantasy",tt4123430,134.0,6.6,654855901,159555901,200000000.0,2018-11-14,31.268
161,Halloween,"Horror, Thriller",tt1502407,106.0,6.6,255485178,159342015,10000000.0,2018-10-18,20.23
162,The Secret Life of Pets 2,"Animation, Adventure, Comedy",tt5113040,86.0,6.6,430051293,158874395,80000000.0,2019-05-24,22.878
163,Star Trek Beyond,"Action, Adventure, Sci-Fi",tt2660888,122.0,7.1,343471816,158848340,185000000.0,2016-07-07,28.608
164,X-Men: Apocalypse,"Action, Adventure, Sci-Fi",tt3385516,144.0,7.0,543934105,155442489,178000000.0,2016-05-18,25.218000000000004
165,Snow White and the Huntsman,"Action, Adventure, Drama",tt1735898,127.0,6.1,396592829,155332381,170000000.0,2012-05-30,20.35
166,San Andreas,"Action, Adventure, Drama",tt2126355,114.0,6.1,473990832,155190832,110000000.0,2015-05-27,23.676
167,Mad Max: Fury Road,"Action, Adventure, Sci-Fi",tt1392190,120.0,8.1,374736354,154058340,150000000.0,2015-05-13,32.285
168,Trolls,"Animation, Adventure, Comedy",tt1679335,92.0,6.5,346864462,153707064,125000000.0,2016-10-13,23.653000000000002
169,Cars 3,"Animation, Adventure, Comedy",tt3606752,102.0,6.8,383930656,152901115,175000000.0,2017-06-15,19.246
170,La La Land,"Comedy, Drama, Music",tt3783958,128.0,8.0,446486224,151101803,30000000.0,2016-11-29,30.699
171,Divergent,"Action, Adventure, Mystery",tt1840309,139.0,6.7,288885818,150947895,85000000.0,2014-03-14,27.915
172,We're the Millers,"Comedy, Crime",tt1723121,110.0,7.0,269994119,150394119,37000000.0,2013-08-07,33.917
173,Daddy's Home,"Comedy, Family",tt1528854,96.0,6.2,242786137,150357137,50000000.0,2015-12-25,12.811
174,Neighbors,Comedy,tt2004420,97.0,6.3,270665134,150157400,18000000.0,2014-05-08,13.2
175,American Hustle,"Crime, Drama",tt1800241,138.0,7.2,251171807,150117807,40000000.0,2013-12-12,17.441
176,Puss in Boots,"Animation, Adventure, Comedy",tt0448694,90.0,6.6,554987477,149260504,130000000.0,2011-10-28,16.027
177,Les Misérables,"Drama, History, Musical",tt10199590,102.0,7.4,441809770,148809770,0.0,2019-11-14,30.546
178,Megamind,"Animation, Action, Comedy",tt1001526,95.0,7.3,321885765,148415853,130000000.0,2010-10-28,23.744
179,Little Fockers,"Comedy, Romance",tt0970866,98.0,5.5,310650585,148383780,100000000.0,2010-12-21,13.485
180,Hotel Transylvania,"Animation, Comedy, Family",tt0837562,91.0,7.1,358375603,148313048,85000000.0,2012-09-20,18.36
181,War for the Planet of the Apes,"Action, Adventure, Drama",tt3450958,140.0,7.5,490719763,146880162,150000000.0,2017-07-11,28.568
182,The Great Gatsby,"Drama, Romance",tt1343092,143.0,7.3,353641895,144840419,105000000.0,2013-05-10,23.855
183,Pokémon Detective Pikachu,"Adventure, Comedy, Family",tt5884052,104.0,6.9,433005346,144105346,150000000.0,2019-05-03,31.479
184,Rio,"Animation, Adventure, Comedy",tt1436562,96.0,6.9,483866518,143619809,90000000.0,2011-04-03,20.459
185,Kung Fu Panda 3,"Animation, Action, Adventure",tt2267968,95.0,7.1,521170825,143528619,145000000.0,2016-01-23,26.011
186,The Meg,"Action, Horror, Sci-Fi",tt4779682,113.0,5.7,530243742,143005856,150000000.0,2018-08-09,30.414
187,The Smurfs,"Animation, Adventure, Comedy",tt0472181,103.0,5.5,563749323,142614158,110000000.0,2011-07-29,17.998
188,Shazam!,"Action, Adventure, Comedy",tt0448115,132.0,7.4,365971656,140371656,80000000.0,2019-03-29,34.084
189,Taken 2,"Action, Thriller",tt1397280,92.0,6.3,376141306,139854287,45000000.0,2012-09-27,13.735999999999999
190,The King's Speech,"Biography, Drama, History",tt1504320,118.0,8.0,423999102,138797449,15000000.0,2010-09-06,19.389
191,21 Jump Street,"Action, Comedy, Crime",tt1232829,109.0,7.2,201585328,138447667,42000000.0,2012-03-14,18.239
192,Split,"Horror, Thriller",tt2660118,90.0,2.9,278454358,138291365,0.0,2016-08-02,5.544
193,Ready Player One,"Action, Adventure, Sci-Fi",tt1677720,140.0,7.5,582890172,137690172,175000000.0,2018-03-28,30.67
194,The Conjuring,"Horror, Mystery, Thriller",tt1457767,112.0,7.5,319494638,137400141,13000000.0,2013-03-20,26.206
195,Argo,"Biography, Drama, Thriller",tt1024648,120.0,7.7,232325503,136025503,44500000.0,2012-10-11,16.71
196,Ride Along,"Action, Comedy, Crime",tt1408253,99.0,6.2,154468902,134938200,25000000.0,2014-01-07,11.298
197,Identity Thief,"Comedy, Crime, Drama",tt2024432,111.0,5.7,173965010,134506920,35000000.0,2013-02-07,12.86
198,Grown Ups 2,Comedy,tt2191701,101.0,5.4,246984278,133668525,80000000.0,2013-07-11,17.058
199,Alvin and the Chipmunks: Chipwrecked,"Animation, Adventure, Comedy",tt1615918,87.0,4.4,342695435,133110742,75000000.0,2011-12-14,18.33
200,The Wolverine,"Action, Adventure, Sci-Fi",tt1430132,126.0,6.7,414828246,132556852,120000000.0,2013-07-23,4.402
201,Wonder,"Drama, Family",tt2543472,113.0,8.0,305937718,132422809,20000000.0,2017-11-13,27.838
202,Silver Linings Playbook,"Comedy, Drama, Romance",tt1045658,122.0,7.7,236412453,132092958,21000000.0,2012-09-08,18.135
203,The Last Airbender,"Action, Adventure, Family",tt0938283,103.0,4.1,319713881,131564731,150000000.0,2010-06-30,17.045
204,Rio 2,"Animation, Adventure, Comedy",tt2357291,101.0,6.3,498781117,131538435,103000000.0,2014-03-19,17.99
205,Insurgent,"Action, Adventure, Sci-Fi",tt2908446,119.0,6.2,297002527,130179072,110000000.0,2015-03-18,30.195
206,The Peanuts Movie,"Animation, Comedy, Family",tt2452042,88.0,7.1,246233113,130178411,99000000.0,2015-11-01,12.654000000000002
207,Transformers: The Last Knight,"Action, Adventure, Sci-Fi",tt3371366,154.0,5.2,605425157,130168683,217000000.0,2017-06-16,19.102
208,Ghostbusters,"Action, Comedy, Fantasy",tt1289401,116.0,5.2,229147509,128344089,144000000.0,2016-07-14,34.103
209,Kingsman: The Secret Service,"Action, Adventure, Comedy",tt2802144,129.0,7.7,414351546,128261724,81000000.0,2014-12-13,28.498
210,Shutter Island,"Mystery, Thriller",tt1130884,138.0,8.1,294804195,128012934,80000000.0,2010-02-14,31.688000000000002
211,Into the Woods,"Adventure, Comedy, Drama",tt2180411,125.0,6.0,212902372,128002372,50000000.0,2014-12-24,21.764
212,Central Intelligence,"Action, Comedy, Crime",tt1489889,107.0,6.3,216972543,127440871,50000000.0,2016-06-15,15.622
213,Anchorman 2: The Legend Continues,Comedy,tt1229340,119.0,6.3,171464676,127352707,50000000.0,2013-12-18,14.782
214,Bumblebee,"Action, Adventure, Sci-Fi",tt4701182,114.0,6.9,467989645,127195589,135000000.0,2018-12-15,28.935
